category_id,category_name,parent_category_id,full_path
75,CameraPrivacyCovers,74,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers
76,Adapters,50,"Electronics|Headphones,Earbuds&Accessories|Adapters"
77,PhoneCharms,64,Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms
78,Shower&WallMounts,68,Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts
79,ExternalDevices&DataStorage,1,Computers&Accessories|ExternalDevices&DataStorage
80,PenDrives,79,Computers&Accessories|ExternalDevices&DataStorage|PenDrives
81,"Keyboards,Mice&InputDevices",2,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices"
82,Mice,81,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice"
83,GraphicTablets,81,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets"
84,Lapdesks,74,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks
85,NotebookComputerStands,74,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands
86,Keyboards,81,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards"
87,MusicalInstruments,,MusicalInstruments
88,Microphones,87,MusicalInstruments|Microphones
89,Condenser,88,MusicalInstruments|Microphones|Condenser
90,GeneralPurposeBatteries&BatteryChargers,9,Electronics|GeneralPurposeBatteries&BatteryChargers
91,DisposableBatteries,90,Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries
92,OfficeProducts,,OfficeProducts
93,OfficePaperProducts,92,OfficeProducts|OfficePaperProducts
94,Paper,93,OfficeProducts|OfficePaperProducts|Paper
95,Stationery,94,OfficeProducts|OfficePaperProducts|Paper|Stationery
96,"Pens,Pencils&WritingSupplies",95,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies"
97,Pens&Refills,96,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills"
98,GelInkRollerballPens,97,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens"
99,Home&Kitchen,,Home&Kitchen
100,CraftMaterials,99,Home&Kitchen|CraftMaterials
101,Scrapbooking,100,Home&Kitchen|CraftMaterials|Scrapbooking
102,Tape,101,Home&Kitchen|CraftMaterials|Scrapbooking|Tape
103,Keyboard&MouseSets,81,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets"
104,ExternalHardDisks,79,Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks
105,Cameras&Photography,9,Electronics|Cameras&Photography
106,VideoCameras,105,Electronics|Cameras&Photography|VideoCameras
107,Accessories,105,Electronics|Cameras&Photography|Accessories
108,Tripods&Monopods,107,Electronics|Cameras&Photography|Accessories|Tripods&Monopods
109,Tabletop&TravelTripods,108,Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods
110,OfficeElectronics,92,OfficeProducts|OfficeElectronics
111,Calculators,110,OfficeProducts|OfficeElectronics|Calculators
112,Scientific,111,OfficeProducts|OfficeElectronics|Calculators|Scientific
113,Repeaters&Extenders,6,Computers&Accessories|NetworkingDevices|Repeaters&Extenders
